Sample_ID,Sample_orf_control,Roslin_ID,sample.date,Blood,NBF,RNAlater,finclip,First_gill_score,Second_gill_score,mean_gill_score,Weight,Length,Family,Ct,mngill,ct_group,gill_group2,gill_group,Axis.1,Axis.2,richness,shannon,simpson,ASV_1,ASV_4,ASV_17,ASV_11,ASV_8,ASV_18,ASV_15,ASV_1_INT,ASV_4_INT,ASV_17_INT,ASV_11_INT,ASV_8_INT,ASV_18_INT,ASV_15_INT
G514,TRUE_SAMPLE,514,06-Oct-15,1,1,1,B402_00514,4,4,4,389,342,J258_0294,33.35,4,30<Ct<35,MODERATE-ADVANCED,03-Apr,0.225309874,0.016379278,39,6.488997837,3.6623255,0.48117464,0.155429092,0.07953027,0.035119712,0.029130182,0.070868246,0.047774756,0.742759799,-0.534175181,1.140117653,0.346704194,0.346704194,1.062220505,0.859924779
G521,TRUE_SAMPLE,521,06-Oct-15,1,1,1,B402_00521,4,4,4,477,368,B302_0487,29.24,4,Ct<30,MODERATE-ADVANCED,03-Apr,0.349367016,0.043220688,25,3.190587378,1.807460533,0.736757213,0.072170298,0.000581414,0.0119096,0.049520178,0.021806133,0.015854459,2.387808898,-1.140117653,-0.635007185,-0.392193489,0.742759799,0.214049476,-0.392193489
G562,TRUE_SAMPLE,562,06-Oct-15,0,1,1,B402_00562,4,4,4,370,330,NA,37.82,4,Ct>35,MODERATE-ADVANCED,03-Apr,0.096325478,-0.150688144,20,4.024343182,2.813933267,0.456876113,0.377583646,0.02396482,0,0.006748714,0.02683745,0.047191807,0.43850955,0.583848813,0.170767252,-1.430608769,-0.485786363,0.257736636,0.742759799
G486,TRUE_SAMPLE,486,06-Oct-15,1,1,1,B402_00486,3.5,4,3.75,407,348,B302_2390,32.83,3.75,30<Ct<35,MODERATE-ADVANCED,03-Apr,0.302697516,0.047236956,38,6.151292333,2.97169983,0.560760104,0.091662268,0.035595438,0.060243729,0.018176394,0.074289124,0.035480688,1.062220505,-0.923143931,0.534175181,0.923143931,-0.042498014,1.140117653,0.392193489
G526,TRUE_SAMPLE,526,06-Oct-15,1,1,1,B402_00526,3.5,4,3.75,806,424,J258_1006,28.2,3.75,Ct<30,MODERATE-ADVANCED,03-Apr,0.073412529,-0.196393721,10,2.789172199,2.339978051,0.480093458,0.441658879,0,0,0,0.002406542,0.02932243,0.635007185,0.859924779,-1.321182026,-1.430608769,-1.225627238,-0.583848813,0.085072957
G503,TRUE_SAMPLE,503,06-Oct-15,1,1,1,B402_00503,3,3,3,312,315,B302_2466,27.72,3,Ct<30,LIGHT-MODERATE,03-Apr,0.329412653,0.06339512,20,7.063748237,4.085735097,0.459886548,0.030399642,0.049955216,0,0.100998038,0.058229549,0.089759447,0.485786363,-1.723789988,0.742759799,-1.430608769,1.225627238,0.68788465,1.321182026
G489,TRUE_SAMPLE,489,06-Oct-15,1,1,1,B402_00489,4,4,4,599,392,J258_1006,29.71,4,Ct<30,MODERATE-ADVANCED,03-Apr,-0.004195068,0.23441464,23,6.028266329,4.21371674,0.161285171,0.05849382,0.337453291,0.028440484,0,0.302721088,0.014531634,-0.485786363,-1.430608769,1.952764915,0.042498014,-1.225627238,1.952764915,-0.485786363
G536,TRUE_SAMPLE,536,06-Oct-15,1,1,1,B402_00536,4,4,4,311,308,NA,36.88,4,Ct>35,MODERATE-ADVANCED,03-Apr,-0.137420164,-0.10066684,35,5.569206394,3.879056621,0.197558074,0.414690036,0.20018192,0.022547579,0.022372656,0.067957599,0.023124825,-0.301921554,0.799968905,1.560490269,-0.214049476,0.170767252,0.990286919,-0.042498014
G516,TRUE_SAMPLE,516,06-Oct-15,1,1,1,B402_00516,4,4,4,540,366,B302_2269,29.62,4,Ct<30,MODERATE-ADVANCED,03-Apr,-0.32473277,0.302604628,7,5.420983827,5.061471876,0.024294391,0.228602052,0,0,0,0,0,-1.321182026,-0.170767252,-1.321182026,-1.430608769,-1.225627238,-1.321182026,-1.430608769
G550,TRUE_SAMPLE,550,06-Oct-15,1,1,1,B402_00550,2.5,3,2.75,418,342,J258_0603,33.11,2.75,30<Ct<35,LIGHT-MODERATE,02-Mar,-0.240439537,0.364092265,11,6.807806731,6.007875458,0.001579055,0.186073757,0.143693969,0.03494295,0.000865933,0.169213529,0,-2.387808898,-0.346704194,1.321182026,0.301921554,-0.742759799,1.723789988,-1.430608769
