Sample_ID,Sample_orf_control,Roslin_ID,sample date,Blood,NBF,RNAlater,finclip,First_gill_score,Second_gill_score,mean_gill_score,Weight,Length,Family,Ct
G447,TRUE_SAMPLE,447,06-Oct-15,1,1,1,B402_00447,,,,,,#N/A,#N/A
G448,TRUE_SAMPLE,448,06-Oct-15,1,1,1,B402_00448,4,4,4,360,331,B302_1716,25.07
G450,TRUE_SAMPLE,450,06-Oct-15,1,1,1,B402_00450,2.5,2.5,2.5,513,352,J258_2569,33.53
G451,TRUE_SAMPLE,451,06-Oct-15,1,1,1,B402_00451,3,3,3,377,327,#N/A,#N/A
G452,TRUE_SAMPLE,452,06-Oct-15,1,1,1,B402_00452,4,4,4,509,367,B302_0953,36.46
G454,TRUE_SAMPLE,454,06-Oct-15,1,1,1,B402_00454,2.5,2.5,2.5,527,527,#N/A,#N/A
G455,TRUE_SAMPLE,455,06-Oct-15,1,1,1,B402_00455,4,3.5,3.75,534,382,#N/A,#N/A
G456,TRUE_SAMPLE,456,06-Oct-15,1,1,1,B402_00456,4,3.5,3.75,369,334,#N/A,#N/A
G457,TRUE_SAMPLE,457,06-Oct-15,1,1,1,B402_00457,4,4,4,579,384,B302_0607,41.88
G458,TRUE_SAMPLE,458,06-Oct-15,1,1,1,B402_00458,4,4,4,342,338,NA,30.8
G459,TRUE_SAMPLE,459,06-Oct-15,1,1,1,B402_00459,2,2.5,2.25,504,359,NA,33.31
G460,TRUE_SAMPLE,460,06-Oct-15,1,1,1,B402_00460,4,3.5,3.75,558,374,B302_2752,31.87
G462,TRUE_SAMPLE,462,06-Oct-15,1,1,1,B402_00462,4,3.5,3.75,444,351,#N/A,#N/A
G463,TRUE_SAMPLE,463,06-Oct-15,1,1,1,B402_00463,4,4,4,261,308,NA,26.28
G465,TRUE_SAMPLE,465,06-Oct-15,1,1,1,B402_00465,4,3.5,3.75,386,340,B302_0834,35.74
G466,TRUE_SAMPLE,466,06-Oct-15,1,1,1,B402_00466,3,2.5,2.75,342,325,B302_2765,29.77
G470,TRUE_SAMPLE,470,06-Oct-15,1,1,1,B402_00470,2.5,2.5,2.5,459,344,B302_2590,29.63
G471,TRUE_SAMPLE,471,06-Oct-15,1,1,1,B402_00471,3.5,4,3.75,349,332,B302_1582,36.55
G473,TRUE_SAMPLE,473,06-Oct-15,1,1,1,B402_00473,4,4,4,476,364,B302_0190,28.63
G474,TRUE_SAMPLE,474,06-Oct-15,1,1,1,B402_00474,4,4,4,437,352,J258_1135,31.43
G475,TRUE_SAMPLE,475,06-Oct-15,1,1,1,B402_00475,4,4,4,224,293,B302_1295,25.38
G476,TRUE_SAMPLE,476,06-Oct-15,1,1,1,B402_00476,4,3.5,3.75,406,350,#N/A,#N/A
G477,TRUE_SAMPLE,477,06-Oct-15,1,1,1,B402_00477,4,4,4,444,358,#N/A,#N/A
